date,time,open,high,low,close,volume,Accumulated sales volume,Accumulated number of contract
20220208,1530,1505,1505,1505,1505,169395,6757871,4387821
20220208,1520,1515,1515,1510,1510,24624,6757871,4244955
20220208,1519,1515,1520,1510,1515,9944,6741095,4237107
20220208,1518,1515,1515,1510,1515,15722,6736006,4232252
20220208,1517,1515,1515,1510,1515,8889,6730406,4222130
20220208,1516,1515,1520,1510,1515,62336,6730209,4213438
20220208,1515,1520,1520,1515,1520,4252,6673121,4208190
20220208,1514,1520,1520,1515,1520,2966,6671016,4206043
20220208,1513,1515,1520,1510,1520,4671,6670077,4204016
20220208,1512,1515,1515,1510,1515,5346,6667712,4201710
20220208,1511,1515,1515,1510,1515,10916,6666812,4197264
20220208,1510,1520,1520,1515,1520,9130,6656171,4196989
20220208,1509,1515,1515,1510,1515,7651,6650108,4193922
20220208,1508,1520,1520,1510,1515,24945,6650075,4186304
20220208,1507,1520,1520,1515,1515,4628,6626596,4184838
20220208,1506,1515,1520,1515,1520,3549,6625751,4181055
20220208,1505,1515,1515,1510,1515,9160,6625576,4177681
20220208,1504,1515,1515,1510,1510,4726,6625481,4168616
20220208,1503,1515,1515,1510,1515,4640,6625081,4164290
20220208,1502,1505,1515,1505,1515,3598,6625038,4159693
20220208,1501,1515,1515,1510,1510,6089,6622995,4158138
20220208,1500,1495,1515,1495,1515,48006,6618201,4156843
20220208,1459,1505,1505,1495,1495,19071,6611653,4115385
20220208,1458,1500,1505,1500,1500,12086,6594009,4113958
20220208,1457,1505,1505,1500,1500,12510,6584171,4111710
20220208,1456,1505,1510,1500,1505,7737,6573851,4109520
20220208,1455,1505,1510,1500,1505,35965,6568341,4107293
20220208,1454,1505,1510,1505,1510,1987,6538599,4101070
20220208,1453,1510,1510,1505,1510,1008,6537605,4100077
20220208,1452,1510,1510,1505,1510,7756,6537223,4099451
20220208,1451,1510,1510,1505,1510,1869,6536551,4092367
20220208,1450,1505,1510,1505,1510,2263,6535761,4091288
20220208,1449,1510,1510,1505,1510,967,6535243,4089543
20220208,1448,1515,1515,1505,1510,20872,6534624,4089195
20220208,1447,1515,1515,1510,1510,6527,6513920,4089027
20220208,1446,1515,1515,1510,1515,1643,6510271,4086149
20220208,1445,1515,1515,1505,1510,17801,6508766,4086011
20220208,1444,1505,1515,1505,1515,13345,6493216,4083760
20220208,1443,1505,1510,1500,1510,31599,6492484,4071147
20220208,1442,1510,1510,1500,1510,32507,6463245,4068787
20220208,1441,1505,1515,1505,1515,18809,6431556,4067969
20220208,1440,1510,1510,1505,1505,4772,6415405,4065311
20220208,1439,1510,1510,1505,1510,3312,6410633,4065311
20220208,1438,1510,1510,1505,1505,5405,6408819,4063813
20220208,1437,1510,1510,1505,1510,17114,6403524,4063703
20220208,1436,1520,1520,1510,1510,17330,6386624,4063489
20220208,1435,1520,1520,1510,1520,2464,6371499,4061284
20220208,1434,1525,1525,1515,1520,18303,6369670,4060649
20220208,1433,1525,1525,1520,1525,3990,6353090,4058926
20220208,1432,1520,1525,1515,1525,6575,6349527,4058499
20220208,1431,1520,1525,1515,1520,17769,6348995,4052456
20220208,1430,1520,1520,1515,1520,6317,6347429,4036253
20220208,1429,1520,1520,1515,1520,7546,6343504,4033861
20220208,1428,1515,1520,1515,1520,1242,6341542,4028277
20220208,1427,1510,1520,1510,1515,4456,6340435,4028142
20220208,1426,1515,1520,1510,1510,2177,6339515,4024606
20220208,1425,1515,1520,1515,1515,7140,6337368,4024576
20220208,1424,1525,1525,1515,1515,10737,6331015,4023789
20220208,1423,1520,1525,1515,1515,9282,6320280,4023787
20220208,1422,1520,1520,1515,1520,4045,6311748,4023037
20220208,1421,1520,1520,1515,1520,6505,6309711,4021029
20220208,1420,1525,1525,1515,1515,19267,6304244,4019991
20220208,1419,1530,1530,1520,1530,16084,6285090,4019878
20220208,1418,1530,1535,1525,1530,13064,6269966,4018918
20220208,1417,1540,1540,1530,1530,12229,6258052,4017768
20220208,1416,1540,1540,1530,1540,20751,6250494,4013097
20220208,1415,1530,1540,1530,1540,24506,6248861,3993979
20220208,1414,1535,1535,1525,1530,15626,6248859,3969475
20220208,1413,1535,1535,1530,1535,7677,6240747,3961961
20220208,1412,1530,1535,1530,1535,4096,6235855,3959176
20220208,1411,1530,1535,1530,1530,26347,6232615,3958320
20220208,1410,1530,1535,1525,1535,8402,6220726,3943862
20220208,1409,1530,1530,1520,1530,15958,6219830,3936356
20220208,1408,1520,1535,1520,1530,25130,6206298,3933930
20220208,1407,1520,1530,1520,1525,14553,6202269,3912829
20220208,1406,1520,1525,1510,1525,26190,6199500,3901045
20220208,1405,1520,1525,1515,1520,17531,6189330,3885025
20220208,1404,1520,1525,1515,1520,31404,6185375,3871449
20220208,1403,1515,1525,1510,1520,23228,6159303,3866117
20220208,1402,1515,1515,1510,1515,11785,6157729,3844463
20220208,1401,1500,1515,1495,1515,60056,6155404,3835003
20220208,1400,1500,1500,1495,1500,3070,6155401,3774950
20220208,1359,1495,1500,1495,1500,11788,6153010,3774271
20220208,1358,1500,1500,1495,1495,6973,6142788,3772705
20220208,1357,1500,1500,1495,1500,4269,6140720,3767800
20220208,1356,1505,1505,1495,1500,20770,6138419,3765832
20220208,1355,1505,1505,1500,1505,25538,6119684,3763797
20220208,1354,1505,1505,1500,1505,2716,6119089,3738854
20220208,1353,1500,1505,1495,1505,13834,6118065,3737162
20220208,1352,1500,1500,1495,1500,2923,6116399,3724994
20220208,1351,1500,1500,1495,1495,3556,6115919,3722551
20220208,1350,1495,1500,1490,1500,13267,6115019,3719895
20220208,1349,1495,1495,1490,1495,30114,6109800,3711847
20220208,1348,1495,1505,1490,1495,31410,6098891,3692642
20220208,1347,1495,1495,1485,1495,16608,6086806,3673317
20220208,1346,1490,1495,1485,1490,15682,6078593,3664922
20220208,1345,1490,1495,1485,1490,28979,6068311,3659522
20220208,1344,1500,1500,1490,1490,25964,6049338,3649516
20220208,1343,1505,1505,1490,1495,117849,6024609,3648281
20220208,1342,1510,1510,1500,1505,18656,5911683,3643358
20220208,1341,1515,1520,1500,1505,102559,5897470,3638915
20220208,1340,1520,1520,1515,1520,1887,5795164,3638662
20220208,1339,1515,1520,1510,1520,818,5794356,3637583
20220208,1338,1520,1525,1510,1515,29330,5794355,3636766
20220208,1337,1525,1530,1520,1520,39864,5766567,3635224
20220208,1336,1525,1525,1525,1525,18518,5731968,3629959
20220208,1335,1525,1525,1520,1525,9399,5731968,3611441
20220208,1334,1525,1525,1520,1525,2344,5730061,3603949
20220208,1333,1525,1525,1520,1525,14781,5729594,3602072
20220208,1332,1520,1525,1520,1525,6551,5729492,3587393
20220208,1331,1515,1520,1515,1520,10724,5726188,3584146
20220208,1330,1520,1525,1515,1520,3414,5722250,3577360
20220208,1329,1520,1525,1520,1520,11348,5721942,3574254
20220208,1328,1520,1520,1515,1520,5895,5714038,3570810
20220208,1327,1515,1520,1510,1520,56171,5712017,3566936
20220208,1326,1520,1520,1510,1515,13087,5691037,3531745
20220208,1325,1515,1520,1515,1520,2955,5679714,3529981
20220208,1324,1515,1520,1510,1515,22525,5678038,3528702
20220208,1323,1520,1520,1515,1520,8984,5661727,3522488
20220208,1322,1510,1520,1510,1515,21715,5654003,3521228
20220208,1321,1515,1515,1510,1515,3442,5649597,3503919
20220208,1320,1515,1515,1510,1515,3258,5649145,3500929
20220208,1319,1510,1515,1510,1510,9153,5648140,3498676
20220208,1318,1515,1515,1510,1515,5449,5642774,3494889
20220208,1317,1510,1515,1505,1515,4415,5640728,3491486
20220208,1316,1510,1510,1505,1510,14795,5640708,3487091
20220208,1315,1505,1510,1500,1510,29560,5640707,3472297
20220208,1314,1505,1505,1500,1500,21255,5630125,3453319
20220208,1313,1510,1510,1500,1505,77210,5628431,3433758
20220208,1312,1515,1515,1505,1510,38328,5562797,3422182
20220208,1311,1510,1520,1505,1515,109202,5530696,3415955
20220208,1310,1520,1525,1505,1510,80629,5493412,3344037
20220208,1309,1520,1520,1515,1520,45623,5422386,3334434
20220208,1308,1525,1525,1515,1520,26213,5421683,3289514
20220208,1307,1520,1525,1515,1525,55085,5399399,3285585
20220208,1306,1520,1520,1515,1520,5035,5399351,3230548
20220208,1305,1520,1520,1515,1520,2228,5398775,3226089
20220208,1304,1520,1520,1515,1520,12051,5398724,3223912
20220208,1303,1510,1530,1510,1520,133000,5389546,3221039
20220208,1302,1510,1520,1510,1515,63868,5365831,3111754
20220208,1301,1520,1525,1510,1510,51769,5311578,3102139
20220208,1300,1520,1525,1515,1520,66838,5268008,3093940
20220208,1259,1535,1535,1515,1520,58275,5225246,3069864
20220208,1258,1525,1535,1520,1530,89012,5181694,3055141
20220208,1256,1535,1535,1530,1530,63217,5180562,2967261
20220208,1255,1535,1535,1530,1530,107552,5123300,2961306
20220208,1254,1535,1540,1530,1535,13802,5017787,2959267
20220208,1253,1540,1540,1535,1535,59558,5007996,2955256
20220208,1252,1540,1540,1535,1540,20948,4964090,2939604
20220208,1251,1535,1545,1530,1540,93367,4960422,2922324
20220208,1250,1535,1540,1530,1535,68799,4948358,2841021
20220208,1249,1545,1545,1535,1540,73807,4900286,2820294
20220208,1248,1540,1545,1535,1545,15207,4838034,2808739
20220208,1247,1535,1540,1535,1540,43772,4837455,2794111
20220208,1246,1550,1555,1540,1540,161047,4798679,2789115
20220208,1245,1565,1565,1545,1555,117588,4643837,2782910
20220208,1244,1560,1565,1560,1560,6263,4534908,2774251
20220208,1243,1560,1560,1555,1560,27249,4534877,2768019
20220208,1242,1560,1560,1555,1560,6135,4530787,2744860
20220208,1241,1560,1560,1555,1560,11588,4528808,2740704
20220208,1240,1555,1560,1550,1560,4085,4523990,2733934
20220208,1239,1560,1560,1555,1555,22770,4523957,2729882
20220208,1238,1560,1565,1560,1560,4927,4510689,2720380
20220208,1237,1560,1565,1555,1565,11081,4510000,2716142
20220208,1236,1560,1560,1555,1560,8158,4508970,2706091
20220208,1235,1555,1560,1550,1560,22410,4505844,2701059
20220208,1234,1555,1560,1550,1555,19386,4494778,2689715
20220208,1233,1555,1565,1550,1560,24503,4479245,2685862
20220208,1232,1550,1560,1545,1560,19072,4468931,2671673
20220208,1231,1560,1560,1550,1550,32402,4467765,2653767
20220208,1230,1555,1560,1550,1560,19980,4447473,2641657
20220208,1229,1550,1560,1550,1555,13818,4442907,2626243
20220208,1228,1550,1550,1550,1550,192,4438967,2616365
20220208,1227,1555,1555,1550,1550,26894,4438967,2616173
20220208,1226,1550,1555,1550,1555,13733,4416443,2611803
20220208,1225,1560,1560,1550,1550,21797,4415833,2598680
20220208,1224,1555,1560,1550,1560,18733,4396929,2595787
20220208,1223,1550,1555,1545,1555,14573,4389603,2584380
20220208,1222,1550,1550,1550,1550,5539,4386716,2572694
20220208,1221,1550,1555,1545,1550,37631,4386716,2567155
20220208,1220,1545,1550,1540,1550,14005,4365744,2550496
20220208,1219,1545,1545,1540,1545,11540,4359467,2542768
20220208,1218,1545,1545,1540,1545,18056,4359455,2531240
20220208,1217,1540,1545,1535,1545,22992,4352903,2519736
20220208,1216,1540,1545,1535,1540,19284,4341311,2508336
20220208,1215,1540,1550,1540,1540,92749,4336504,2493859
20220208,1214,1540,1540,1535,1540,20129,4316005,2421609
20220208,1213,1540,1540,1535,1540,28635,4301935,2415550
20220208,1212,1545,1550,1535,1540,112411,4284873,2403977
