date,time,open,high,low,close,volume,Accumulated sales volume,Accumulated number of contract
20230630,1530,1742,1742,1742,1742,1903,80149,142905
20230630,1520,1742,1742,1742,1742,1,80149,141002
20230630,1519,1744,1744,1742,1743,183,80148,141002
20230630,1518,1739,1744,1731,1744,5274,80142,140825
20230630,1517,1743,1743,1732,1740,314,74878,140815
20230630,1516,1744,1744,1743,1743,591,74631,140748
20230630,1515,1743,1744,1743,1743,144,74629,140159
20230630,1514,1745,1745,1744,1744,34,74494,140150
20230630,1513,1745,1746,1745,1746,364,74490,140120
20230630,1512,1745,1746,1745,1745,11,74136,140110
20230630,1511,1745,1746,1745,1746,5,74131,140104
20230630,1510,1744,1745,1744,1745,119,74127,140103
20230630,1509,1745,1746,1745,1745,4,74122,139989
20230630,1508,1746,1746,1745,1745,13,74121,139986
20230630,1507,1736,1746,1732,1746,668,74120,139974
20230630,1506,1739,1739,1736,1736,91,73460,139966
20230630,1505,1740,1740,1732,1732,299,73458,139877
20230630,1504,1744,1745,1740,1740,1049,73162,139874
20230630,1503,1744,1744,1740,1740,1032,72595,139392
20230630,1501,1744,1744,1744,1744,410,71849,139106
20230630,1500,1740,1744,1740,1744,64,71439,139106
20230630,1458,1745,1745,1740,1740,1061,71414,139067
20230630,1457,1744,1746,1744,1745,2598,70353,139067
20230630,1456,1744,1744,1744,1744,20,70260,136562
20230630,1455,1744,1744,1744,1744,147,70240,136562
20230630,1454,1744,1746,1744,1746,401,70093,136562
20230630,1453,1744,1744,1744,1744,19,70074,136180
20230630,1452,1747,1747,1745,1745,512,70055,136180
20230630,1451,1745,1745,1745,1745,6,69546,136177
20230630,1450,1743,1747,1743,1747,12,69540,136177
20230630,1448,1748,1748,1744,1744,46,69540,136165
20230630,1447,1746,1749,1740,1740,5549,69540,136119
20230630,1446,1748,1749,1746,1749,252,63993,136117
20230630,1445,1747,1748,1746,1746,396,63970,135888
20230630,1444,1746,1746,1746,1746,1,63956,135506
