code,name,section,sectionKind
A000020,동화약품,KOSPI,1
A000040,KR모터스,KOSPI,1
A000050,경방,KOSPI,1
A000070,삼양홀딩스,KOSPI,1
A000075,삼양홀딩스우,KOSPI,1
A000080,하이트진로,KOSPI,1
A000087,하이트진로2우B,KOSPI,1
A000100,유한양행,KOSPI,1
A000105,유한양행우,KOSPI,1
A000120,CJ대한통운,KOSPI,1
A000140,하이트진로홀딩스,KOSPI,1
A000145,하이트진로홀딩스우,KOSPI,1
A000150,두산,KOSPI,1
A000155,두산우,KOSPI,1
A000157,두산2우B,KOSPI,1
A000180,성창기업지주,KOSPI,1
A000210,DL,KOSPI,1
A000215,DL우,KOSPI,1
A000220,유유제약,KOSPI,1
A000225,유유제약1우,KOSPI,1
A000227,유유제약2우B,KOSPI,1
A000230,일동홀딩스,KOSPI,1
A000240,한국앤컴퍼니,KOSPI,1
A000270,기아,KOSPI,1
A000300,대유플러스,KOSPI,1
A000320,노루홀딩스,KOSPI,1
A000325,노루홀딩스우,KOSPI,1
A000370,한화손해보험,KOSPI,1
A000390,삼화페인트,KOSPI,1
A000400,롯데손해보험,KOSPI,1
A000430,대원강업,KOSPI,1
A000480,조선내화,KOSPI,1
A000490,대동,KOSPI,1
A000500,가온전선,KOSPI,1
A000520,삼일제약,KOSPI,1
A000540,흥국화재,KOSPI,1
A000545,흥국화재우,KOSPI,1
A000547,흥국화재2우B,KOSPI,1
A000590,CS홀딩스,KOSPI,1
A000640,동아쏘시오홀딩스,KOSPI,1
A000650,천일고속,KOSPI,1
A000660,SK하이닉스,KOSPI,1
A000670,영풍,KOSPI,1
A000680,LS네트웍스,KOSPI,1
A000700,유수홀딩스,KOSPI,1
A000720,현대건설,KOSPI,1
A000725,현대건설우,KOSPI,1
A000760,이화산업,KOSPI,1
A000810,삼성화재,KOSPI,1
A000815,삼성화재우,KOSPI,1
A000850,화천기공,KOSPI,1
A000860,강남제비스코,KOSPI,1
A000880,한화,KOSPI,1
A000885,한화우,KOSPI,1
A00088K,한화3우B,KOSPI,1
A000890,보해양조,KOSPI,1
A000910,유니온,KOSPI,1
A000950,전방,KOSPI,1
A000970,한국주철관,KOSPI,1
A000990,DB하이텍,KOSPI,1
A000995,DB하이텍1우,KOSPI,1
A001020,페이퍼코리아,KOSPI,1
A001040,CJ,KOSPI,1
A001045,CJ우,KOSPI,1
A00104K,CJ4우(전환),KOSPI,1
A001060,JW중외제약,KOSPI,1
A001065,JW중외제약우,KOSPI,1
A001067,JW중외제약2우B,KOSPI,1
A001070,대한방직,KOSPI,1
A001080,만호제강,KOSPI,1
A001120,LX인터내셔널,KOSPI,1
A001130,대한제분,KOSPI,1
A001140,국보,KOSPI,1
A001200,유진투자증권,KOSPI,1
A001210,금호전기,KOSPI,1
A001230,동국홀딩스,KOSPI,1
A001250,GS글로벌,KOSPI,1
A001260,남광토건,KOSPI,1
A001270,부국증권,KOSPI,1
A001275,부국증권우,KOSPI,1
A001290,상상인증권,KOSPI,1
A001340,백광산업,KOSPI,1
A001360,삼성제약,KOSPI,1
A001380,SG글로벌,KOSPI,1
A001390,KG케미칼,KOSPI,1
A001420,태원물산,KOSPI,1
A001430,세아베스틸지주,KOSPI,1
A001440,대한전선,KOSPI,1
A001450,현대해상,KOSPI,1
