date,time,open,high,low,close,volume,Accumulated sales volume,Accumulated number of contract
20230630,1530,15730,15730,15730,15730,2914,136301,89626
20230630,1520,15730,15740,15730,15730,250,136301,87327
20230630,1519,15730,15730,15730,15730,427,136180,87198
20230630,1518,15740,15740,15730,15730,279,136180,86771
20230630,1517,15730,15740,15730,15740,333,136002,86670
20230630,1516,15740,15740,15730,15730,441,135970,86369
20230630,1515,15740,15750,15740,15740,892,135655,86243
20230630,1514,15740,15740,15740,15740,462,135246,85760
20230630,1513,15750,15750,15750,15750,170,134806,85738
20230630,1512,15750,15750,15750,15750,234,134806,85568
20230630,1511,15740,15750,15730,15750,893,134806,85334
20230630,1510,15760,15760,15730,15740,284,134787,84460
20230630,1509,15760,15760,15760,15760,162,134597,84366
20230630,1508,15760,15760,15750,15760,250,134597,84204
20230630,1507,15740,15750,15740,15750,91,134494,84057
20230630,1506,15730,15740,15730,15740,47,134419,84041
20230630,1505,15730,15730,15720,15730,84,134407,84006
20230630,1504,15720,15730,15720,15720,524,134405,83924
20230630,1503,15720,15720,15720,15720,497,134395,83410
20230630,1502,15700,15710,15700,15710,546,134395,82913
20230630,1501,15700,15710,15700,15700,100,134364,82398
20230630,1500,15700,15710,15700,15700,29,134265,82397
20230630,1459,15700,15710,15700,15710,217,134252,82381
20230630,1458,15700,15710,15700,15710,592,134136,82280
20230630,1457,15700,15710,15690,15710,661,133643,82181
20230630,1456,15720,15720,15700,15700,937,133126,82037
20230630,1455,15720,15720,15710,15710,156,132225,82001
20230630,1454,15710,15720,15710,15720,225,132218,81852
20230630,1453,15720,15720,15700,15700,85,132064,81781
20230630,1452,15710,15720,15710,15710,163,131985,81775
20230630,1451,15710,15720,15710,15710,148,131923,81674
20230630,1450,15710,15710,15700,15710,58,131863,81586
20230630,1449,15710,15710,15700,15710,166,131815,81576
20230630,1448,15710,15710,15700,15710,384,131755,81470
20230630,1447,15710,15720,15700,15710,606,131371,81470
20230630,1446,15700,15710,15700,15710,171,131311,80924
20230630,1445,15700,15710,15700,15700,596,131301,80763
20230630,1444,15700,15710,15700,15700,357,131005,80463
20230630,1443,15700,15700,15700,15700,216,130749,80362
20230630,1442,15690,15700,15690,15700,46,130589,80306
20230630,1441,15690,15700,15690,15700,53,130550,80299
20230630,1440,15700,15700,15680,15680,257,130500,80296
20230630,1439,15700,15710,15700,15710,154,130243,80296
