종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","70000","-1600","-2.23","4.17884779E8"
"373220","LG에너지솔루션","559000","-6000","-1.06","1.30806E8"
"000660","SK하이닉스","111700","-2100","-1.85","8.1317864E7"
"207940","삼성바이오로직스","721000","-28000","-3.74","5.1316454E7"
"006400","삼성SDI","698000","-5000","-0.71","4.7997642E7"
"051910","LG화학","657000","-7000","-1.05","4.6379169E7"
"005380","현대차","203500","-3000","-1.45","4.3046661E7"
"000270","기아","87700","-1300","-1.46","3.5259277E7"
"005490","POSCO홀딩스","399500","5500","1.40","3.3786206E7"
"035420","NAVER","195500","0","0.00","3.2071596E7"
"003670","포스코퓨처엠","394500","21000","5.62","3.055924E7"
"035720","카카오","49950","-950","-1.87","2.2190951E7"
"012330","현대모비스","232500","-500","-0.21","2.1921284E7"
"068270","셀트리온","149100","-3500","-2.29","2.1826878E7"
"066570","LG전자","122700","-2600","-2.08","2.0079587E7"
"105560","KB금융","46550","-150","-0.32","1.878344E7"
"028260","삼성물산","100200","-2100","-2.05","1.8596285E7"
"055550","신한지주","32550","-500","-1.51","1.6872199E7"
"096770","SK이노베이션","165400","-500","-0.30","1.5293804E7"
"032830","삼성생명","66300","-400","-0.60","1.326E7"
"003550","LG","82900","100","0.12","1.3040252E7"
"015760","한국전력","19520","-530","-2.64","1.2531139E7"
"329180","HD현대중공업","135700","-600","-0.44","1.2046512E7"
"352820","하이브","286500","7000","2.50","1.1933326E7"
"033780","KT&G","81300","-400","-0.49","1.116188E7"
"034020","두산에너빌리티","17390","-10","-0.06","1.1139358E7"
"086790","하나금융지주","37650","-350","-0.92","1.1140766E7"
"323410","카카오뱅크","22950","-100","-0.43","1.0941806E7"
"009150","삼성전기","140400","-2400","-1.68","1.0486995E7"
"000810","삼성화재","222500","-500","-0.22","1.0540901E7"
"034730","SK","139700","-3800","-2.65","1.0225807E7"
"017670","SK텔레콤","43500","-700","-1.58","9519242.0"
"003490","대한항공","25050","-450","-1.76","9223928.0"
"011200","HMM","18490","-190","-1.02","9042340.0"
"042660","한화오션","40950","2150","5.54","8880966.0"
"018260","삼성에스디에스","114900","-3000","-2.54","8890709.0"
"010130","고려아연","445000","-18000","-3.89","8839105.0"
"138040","메리츠금융지주","41250","-1000","-2.37","8588987.0"
"009540","HD한국조선해양","120100","-200","-0.17","8499851.0"
"259960","크래프톤","175400","-3100","-1.74","8482825.0"
"316140","우리금융지주","11320","-80","-0.70","8241645.0"
"024110","기업은행","10060","-80","-0.79","8022104.0"
"047050","포스코인터내셔널","44800","900","2.05","7881341.0"
"030200","KT","29200","-300","-1.02","7624465.0"
"086280","현대글로비스","195400","-3000","-1.51","7327500.0"
"010950","S-Oil","63300","-600","-0.94","7126491.0"
"011070","LG이노텍","298000","-10000","-3.25","7052798.0"
"009830","한화솔루션","40900","-250","-0.61","7030405.0"
"051900","LG생활건강","432500","-4500","-1.03","6754870.0"
"361610","SK아이이테크놀로지","92400","-700","-0.75","6587898.0"
"012450","한화에어로스페이스","131100","-500","-0.38","6637593.0"
"011170","롯데케미칼","150400","-2500","-1.64","6433423.0"
"010140","삼성중공업","7110","60","0.85","6256800.0"
"402340","SK스퀘어","44150","-1050","-2.32","6245793.0"
"036570","엔씨소프트","281000","-6500","-2.26","6169080.0"
"377300","카카오페이","45900","-500","-1.08","6152209.0"
"326030","SK바이오팜","75800","-1900","-2.45","5936144.0"
"241560","두산밥캣","59600","700","1.19","5974850.0"
"028050","삼성엔지니어링","28800","-300","-1.03","5644800.0"
"090430","아모레퍼시픽","94700","-300","-0.32","5539264.0"
"302440","SK바이오사이언스","73700","-2800","-3.66","5658984.0"
"047810","한국항공우주","53800","0","0.00","5244161.0"
"034220","LG디스플레이","14880","-440","-2.87","5324298.0"
"005830","DB손해보험","72100","100","0.14","5104680.0"
"001570","금양","87100","13500","18.34","5056158.0"
"271560","오리온","122300","2300","1.92","4835269.0"
"018880","한온시스템","9090","-150","-1.62","4852242.0"
"267250","HD현대","57500","-1000","-1.71","4542102.0"
"161390","한국타이어앤테크놀로지","36700","-50","-0.14","4546215.0"
"383220","F&F","112200","-3400","-2.94","4298054.0"
"004020","현대제철","32800","-600","-1.80","4377022.0"
"032640","LG유플러스","10130","-240","-2.31","4422873.0"
"000100","유한양행","56900","-1100","-1.90","4360740.0"
"006800","미래에셋증권","6930","-110","-1.56","4194843.0"
"011790","SKC","104100","900","0.87","3942090.0"
"064350","현대로템","37500","-400","-1.06","4092836.0"
"097950","CJ제일제당","262000","-5500","-2.06","3944197.0"
"000720","현대건설","34650","-800","-2.26","3858477.0"
"251270","넷마블","44700","-1750","-3.77","3842122.0"
"010620","현대미포조선","86900","400","0.46","3470973.0"
"112610","씨에스윈드","83100","-500","-0.60","3504444.0"
"128940","한미약품","279000","-16500","-5.58","3504842.0"
"011780","금호석유","120500","-3300","-2.67","3532375.0"
"035250","강원랜드","16520","-370","-2.19","3534297.0"
"029780","삼성카드","28500","-300","-1.04","3301978.0"
"078930","GS","35050","50","0.14","3256684.0"
"005940","NH투자증권","9310","-220","-2.31","3087810.0"
"016360","삼성증권","34750","-450","-1.28","3103175.0"
"021240","코웨이","42800","-500","-1.15","3158624.0"
"282330","BGF리테일","168100","1500","0.90","2905425.0"
"008770","호텔신라","73500","100","0.14","2884737.0"
"180640","한진칼","45150","-1250","-2.69","3014317.0"
"272210","한화시스템","14940","300","2.05","2822456.0"
"006260","LS","88000","-1200","-1.35","2833600.0"
"052690","한전기술","71200","3400","5.01","2721264.0"
"111770","영원무역","62000","-1000","-1.59","2747311.0"
"000990","DB하이텍","59500","-600","-1.00","2641716.0"
"001450","현대해상","29800","-150","-0.50","2664120.0"
"004990","롯데지주","24550","-300","-1.21","2575522.0"
"028670","팬오션","4815","-145","-2.92","2573952.0"
"071050","한국금융지주","48250","-700","-1.43","2688779.0"
"003410","쌍용C&E","4795","-80","-1.64","2416007.0"
"004370","농심","412500","7000","1.73","2509090.0"
"204320","HL만도","53200","0","0.00","2498119.0"
"020150","롯데에너지머티리얼즈","54700","300","0.55","2522263.0"
"010120","LS ELECTRIC","80300","400","0.50","2409000.0"
"007070","GS리테일","21750","-350","-1.58","2277615.0"
"014680","한솔케미칼","205500","-11500","-5.30","2329383.0"
"081660","휠라홀딩스","37500","50","0.13","2278208.0"
"039490","키움증권","84500","-2400","-2.76","2216157.0"
"042670","HD현대인프라코어","11600","30","0.26","2315400.0"
"036460","한국가스공사","24400","-50","-0.20","2252437.0"
"000880","한화","28500","-250","-0.87","2136324.0"
"002790","아모레G","24950","-550","-2.16","2057332.0"
"008930","한미사이언스","30650","-700","-2.23","2144180.0"
"139480","이마트","74700","-300","-0.40","2082324.0"
"088350","한화생명","2390","-50","-2.05","2075787.0"
"138930","BNK금융지주","6640","-90","-1.34","2164210.0"
"030000","제일기획","17920","-190","-1.05","2061539.0"
"005420","코스모화학","56500","600","1.07","1977965.0"
"005850","에스엘","40450","450","1.13","1878843.0"
"011210","현대위아","67800","0","0.00","1843827.0"
"298050","효성첨단소재","436500","-5500","-1.24","1955497.0"
"023530","롯데쇼핑","65500","-1300","-1.95","1852913.0"
"026960","동서","18660","-110","-0.59","1860402.0"
"079550","LIG넥스원","85200","-800","-0.93","1874400.0"
"012750","에스원","52000","-1000","-1.89","1975957.0"
"001040","CJ","60500","-1600","-2.58","1765208.0"
"002380","KCC","189500","-2900","-1.51","1683986.0"
"336260","두산퓨얼셀","26950","-150","-0.55","1765056.0"
"004170","신세계","180500","-400","-0.22","1777055.0"
"010060","OCI홀딩스","105700","100","0.09","1734816.0"
"004000","롯데정밀화학","65700","-700","-1.05","1695060.0"
"000120","CJ대한통운","69500","-1900","-2.66","1585458.0"
"001440","대한전선","13320","-260","-1.91","1657638.0"
"175330","JB금융지주","8210","-70","-0.85","1617230.0"
"017800","현대엘리베이","39450","400","1.02","1542195.0"
