,날짜,시가,고가,저가,종가,거래량,거래대금,수정구분,수정비율,수정주가반영항목,수정비율반영거래대금,종가등락구분
0,19850104,8500,8500,8450,8450,1710,0,0,0.00,0,0,3
1,19850105,8400,8440,8390,8390,1660,0,0,0.00,0,0,5
2,19850107,8400,8500,8390,8410,11810,3,0,0.00,0,0,2
3,19850108,8400,8400,8300,8300,12930,4,0,0.00,0,0,5
4,19850109,8240,8240,7950,8010,4970,1,0,0.00,0,0,5
5,19850110,8080,8190,8080,8100,7080,2,0,0.00,0,0,2
6,19850111,8130,8190,8100,8150,6090,2,0,0.00,0,0,2
7,19850112,8300,8300,8250,8290,7860,2,0,0.00,0,0,2
8,19850114,8300,8300,8180,8250,3300,1,0,0.00,0,0,5
9,19850115,8260,8300,8260,8270,8060,2,0,0.00,0,0,2
10,19850116,8270,8270,8110,8140,2950,1,0,0.00,0,0,5
11,19850117,8150,8150,8100,8120,7680,2,0,0.00,0,0,5
12,19850118,8100,8130,8100,8120,5070,1,0,0.00,0,0,3
13,19850119,8100,8120,8100,8100,2280,1,0,0.00,0,0,5
14,19850121,8100,8100,8100,8100,8320,2,0,0.00,0,0,3
15,19850122,8100,8120,8090,8100,7020,2,0,0.00,0,0,3
16,19850123,8100,8180,7810,7950,11810,3,0,0.00,0,0,5
17,19850124,8000,8100,8000,8000,10740,3,0,0.00,0,0,2
18,19850125,8030,8050,8000,8000,3690,1,0,0.00,0,0,3
19,19850126,8000,8020,8000,8000,4810,1,0,0.00,0,0,3
20,19850128,8000,8020,8000,8010,11470,3,0,0.00,0,0,2
21,19850129,8010,8050,7980,8000,14620,4,0,0.00,0,0,5
22,19850130,8010,8050,8010,8030,15430,4,0,0.00,0,0,2
23,19850131,8050,8080,8030,8030,5500,1,0,0.00,0,0,3
24,19850201,8050,8050,8010,8020,8280,2,0,0.00,0,0,5
25,19850202,8170,8170,8030,8100,5020,1,0,0.00,0,0,2
26,19850204,8100,8200,8050,8070,10390,3,0,0.00,0,0,5
27,19850205,8100,8100,8070,8100,6740,2,0,0.00,0,0,2
28,19850206,8100,8150,8100,8120,4270,1,0,0.00,0,0,2
29,19850207,8110,8110,8030,8030,8950,2,0,0.00,0,0,5
30,19850208,8050,8090,8040,8090,8190,2,0,0.00,0,0,2
31,19850209,8000,8060,8000,8050,5260,1,0,0.00,0,0,5
32,19850211,8050,8050,8030,8040,11240,3,0,0.00,0,0,5
33,19850213,8000,8090,8000,8080,2850,1,0,0.00,0,0,2
34,19850214,8080,8080,8040,8080,10170,3,0,0.00,0,0,3
35,19850215,8050,8100,8030,8100,3320,1,0,0.00,0,0,2
36,19850216,8120,8150,8000,8120,1690,0,0,0.00,0,0,2
37,19850218,8120,8130,8090,8100,7580,2,0,0.00,0,0,5
38,19850219,8050,8070,8050,8070,2440,1,0,0.00,0,0,5
39,19850221,8070,8070,8000,8070,11940,3,0,0.00,0,0,3
40,19850222,8070,8100,8070,8100,7920,2,0,0.00,0,0,2
41,19850223,8100,8120,8090,8100,3700,1,0,0.00,0,0,3
42,19850225,8110,8110,8070,8100,3660,1,0,0.00,0,0,3
43,19850226,8070,8100,8070,8100,10900,3,0,0.00,0,0,3
44,19850227,8090,8300,8090,8300,9350,2,0,0.00,0,0,2
45,19850228,8280,8490,8070,8350,23030,6,0,0.00,0,0,2
46,19850302,8370,8450,8370,8400,11640,3,0,0.00,0,0,2
47,19850304,8410,8480,8410,8440,14180,4,0,0.00,0,0,2
48,19850305,8450,8500,8430,8450,13060,4,0,0.00,0,0,2
49,19850306,8460,8470,8000,8180,7710,2,0,0.00,0,0,5
50,19850307,8170,8170,8100,8110,5530,1,0,0.00,0,0,5
51,19850308,8070,8100,7970,7970,8870,2,0,0.00,0,0,5
52,19850309,7970,8000,7910,8000,17690,5,0,0.00,0,0,2
53,19850311,8010,8050,8010,8050,2080,1,0,0.00,0,0,2
54,19850312,8010,8010,8000,8000,3400,1,0,0.00,0,0,5
55,19850313,8000,8060,8000,8050,12470,3,0,0.00,0,0,2
56,19850314,8090,8150,8090,8150,2050,1,0,0.00,0,0,2
57,19850315,8150,8190,8150,8190,4900,1,0,0.00,0,0,2
58,19850316,8250,8500,8250,8440,11440,3,0,0.00,0,0,2
59,19850318,8490,8510,8390,8400,14970,4,0,0.00,0,0,5
60,19850319,8390,8500,8260,8500,6720,2,0,0.00,0,0,2
61,19850320,8500,8650,8500,8550,26020,7,0,0.00,0,0,2
62,19850321,8500,8680,8500,8650,20800,6,0,0.00,0,0,2
63,19850322,8650,8660,8550,8600,8860,2,0,0.00,0,0,5
64,19850323,8600,8600,8500,8500,2250,1,0,0.00,0,0,5
65,19850325,8500,8550,8420,8550,7560,2,0,0.00,0,0,2
66,19850326,8550,8580,8510,8510,9860,3,0,0.00,0,0,5
67,19850327,8410,8440,8350,8440,9560,3,0,0.00,0,0,5
68,19850328,8360,8400,8320,8400,6950,2,0,0.00,0,0,5
69,19850329,8400,8400,8320,8390,950,0,0,0.00,0,0,5
70,19850330,8440,8550,8400,8550,10620,3,0,0.00,0,0,2
71,19850401,8770,8770,8440,8500,7080,2,0,0.00,0,0,5
72,19850402,8440,8460,8440,8440,3650,1,0,0.00,0,0,5
73,19850403,8440,8560,8440,8550,5990,2,0,0.00,0,0,2
74,19850404,8540,8650,8500,8500,8250,2,0,0.00,0,0,5
75,19850406,8500,8500,8440,8500,4180,1,0,0.00,0,0,3
76,19850408,8500,8500,8440,8450,16330,4,0,0.00,0,0,5
77,19850409,8440,8450,8400,8430,6480,2,0,0.00,0,0,5
78,19850410,8400,8400,8350,8400,3420,1,0,0.00,0,0,5
79,19850411,8390,8720,8390,8720,26770,7,0,0.00,0,0,2
80,19850412,8730,8900,8600,8690,43480,12,0,0.00,0,0,5
81,19850413,8610,8640,8500,8500,7570,2,0,0.00,0,0,5
82,19850415,8450,8500,8360,8370,5840,2,0,0.00,0,0,5
83,19850416,8370,8510,8370,8410,9230,3,0,0.00,0,0,2
84,19850417,8420,8500,8400,8500,8340,2,0,0.00,0,0,2
85,19850418,8400,8500,8400,8400,7960,2,0,0.00,0,0,5
86,19850419,8400,8500,8400,8400,2380,1,0,0.00,0,0,3
87,19850420,8420,8500,8400,8400,3530,1,0,0.00,0,0,3
88,19850422,8400,8410,8400,8400,6940,2,0,0.00,0,0,3
89,19850423,8400,8420,8400,8400,8290,2,0,0.00,0,0,3
90,19850424,8400,8400,8320,8400,3590,1,0,0.00,0,0,3
91,19850425,8400,8410,8400,8400,5250,1,0,0.00,0,0,3
92,19850426,8410,8450,8400,8400,7640,2,0,0.00,0,0,3
93,19850427,8400,8450,8400,8400,10500,3,0,0.00,0,0,3
94,19850429,8400,8400,8200,8200,3910,1,0,0.00,0,0,5
95,19850430,8200,8210,7950,8150,9550,3,0,0.00,0,0,5
96,19850501,8010,8200,8010,8200,7150,2,0,0.00,0,0,2
97,19850502,8200,8200,8150,8150,16000,4,0,0.00,0,0,5
98,19850503,8150,8150,8000,8000,3780,1,0,0.00,0,0,5
99,19850504,8000,8050,7800,8000,26070,7,0,0.00,0,0,3
100,19850506,7950,7950,7900,7950,4170,1,0,0.00,0,0,5
101,19850507,7950,7950,7900,7900,3280,1,0,0.00,0,0,5
102,19850508,7910,7950,7900,7950,12060,3,0,0.00,0,0,2
103,19850509,7900,7950,7900,7950,12650,3,0,0.00,0,0,3
104,19850510,7940,7960,7900,7960,5520,1,0,0.00,0,0,2
105,19850511,7970,8090,7970,8000,7010,2,0,0.00,0,0,2
106,19850513,8000,8000,7950,7950,2730,1,0,0.00,0,0,5
107,19850514,7950,7980,7950,7950,3560,1,0,0.00,0,0,3
108,19850515,7950,8000,7950,8000,3850,1,0,0.00,0,0,2
109,19850516,8000,8050,7950,7950,6350,2,0,0.00,0,0,5
110,19850517,7950,7950,7950,7950,4910,1,0,0.00,0,0,3
111,19850518,7950,8040,7950,8040,8130,2,0,0.00,0,0,2
112,19850520,7950,8000,7950,8000,5010,1,0,0.00,0,0,5
113,19850521,7950,8000,7950,8000,5470,1,0,0.00,0,0,3
114,19850522,8000,8040,7950,8010,12870,3,0,0.00,0,0,2
115,19850523,8000,8050,7950,8050,12880,3,0,0.00,0,0,2
116,19850524,8000,8000,8000,8000,3500,1,0,0.00,0,0,5
117,19850525,7990,7990,7950,7970,410,0,0,0.00,0,0,5
118,19850528,8000,8000,7900,7900,8110,2,0,0.00,0,0,5
119,19850529,7850,7850,7850,7850,2910,1,0,0.00,0,0,5
120,19850530,7850,7850,7830,7830,2330,1,0,0.00,0,0,5
121,19850531,7850,7850,7830,7830,5800,1,0,0.00,0,0,3
122,19850601,7830,7890,7830,7830,7760,2,0,0.00,0,0,3
123,19850603,7830,7850,7830,7830,7400,2,0,0.00,0,0,3
124,19850604,7830,7830,7790,7790,4050,1,0,0.00,0,0,5
125,19850605,7750,7790,7520,7700,2160,1,0,0.00,0,0,5
126,19850607,7700,7700,7700,7700,8660,2,0,0.00,0,0,3
127,19850608,7750,7750,7660,7660,8250,2,0,0.00,0,0,5
128,19850610,7650,7700,7650,7660,7360,2,0,0.00,0,0,3
129,19850611,7760,8000,7760,7990,10550,3,0,0.00,0,0,2
130,19850612,8110,8280,8110,8110,12040,3,0,0.00,0,0,2
131,19850613,8100,8200,7910,8110,7000,2,0,0.00,0,0,3
132,19850614,8130,8280,8120,8280,22750,6,0,0.00,0,0,2
133,19850615,8250,8250,8170,8170,1750,0,0,0.00,0,0,5
134,19850617,8210,8370,8190,8190,10630,3,0,0.00,0,0,2
135,19850618,8170,8170,8080,8100,7110,2,0,0.00,0,0,5
136,19850619,8050,8050,7990,8000,4230,1,0,0.00,0,0,5
137,19850620,8020,8050,7800,7820,9080,2,0,0.00,0,0,5
138,19850621,7850,8000,7810,8000,1600,0,0,0.00,0,0,2
139,19850622,8050,8050,7820,7820,6110,2,0,0.00,0,0,5
140,19850624,7890,7900,7890,7900,850,0,0,0.00,0,0,2
141,19850625,7960,7990,7910,7950,2930,1,0,0.00,0,0,2
142,19850626,7960,7960,7900,7900,5600,1,0,0.00,0,0,5
143,19850627,7700,7840,7500,7700,35210,9,0,0.00,0,0,5
144,19850628,7800,7900,7590,7590,23390,6,0,0.00,0,0,5
145,19850629,7620,7780,7610,7690,25260,6,0,0.00,0,0,2
146,19850701,7600,7700,7600,7680,4840,1,0,0.00,0,0,5
147,19850702,7650,7680,7600,7600,7790,2,0,0.00,0,0,5
148,19850703,7580,7580,7520,7560,12210,3,0,0.00,0,0,5
149,19850704,7550,7600,7540,7600,9610,2,0,0.00,0,0,2
150,19850705,7600,7600,7550,7550,2200,1,0,0.00,0,0,5
151,19850706,7550,7600,7550,7600,1110,0,0,0.00,0,0,2
152,19850708,7600,7600,7570,7600,4980,1,0,0.00,0,0,3
153,19850709,7610,7650,7610,7650,1480,0,0,0.00,0,0,2
154,19850710,7620,7800,7620,7700,2740,1,0,0.00,0,0,2
155,19850711,7720,7790,7720,7780,4250,1,0,0.00,0,0,2
156,19850712,7800,7800,7750,7750,3830,1,0,0.00,0,0,5
157,19850713,7750,7770,7750,7750,1330,0,0,0.00,0,0,3
158,19850715,7770,7770,7650,7650,2530,1,0,0.00,0,0,5
159,19850716,7550,7650,7550,7600,1160,0,0,0.00,0,0,5
160,19850718,7550,7600,7550,7600,2340,1,0,0.00,0,0,3
161,19850719,7600,7610,7600,7610,3470,1,0,0.00,0,0,2
162,19850720,7610,7690,7610,7690,990,0,0,0.00,0,0,2
163,19850722,7690,7690,7600,7600,1390,0,0,0.00,0,0,5
164,19850723,7630,7690,7600,7610,980,0,0,0.00,0,0,2
165,19850724,7650,7670,7650,7660,10230,3,0,0.00,0,0,2
166,19850725,7670,7900,7670,7790,1700,0,0,0.00,0,0,2
167,19850726,7800,7930,7800,7850,34150,9,0,0.00,0,0,2
168,19850727,7900,7970,7900,7950,33290,9,0,0.00,0,0,2
