,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS
Date,,,,,,,,,,,,
2019-01-02,31348.716796875,26750.0,32950.0,26750.0,33100.0,28550.0,32400.0,26650.0,32400.0,28350.0,140721,1621370
2019-01-03,32300.12109375,28450.0,33950.0,28450.0,34550.0,29150.0,32650.0,26650.0,32700.0,27000.0,633226,2698290
2019-01-04,33346.6640625,28100.0,35050.0,28100.0,35200.0,28300.0,33450.0,27600.0,34200.0,28200.0,583826,1072464
2019-01-07,32585.544921875,28250.0,34250.0,28250.0,34950.0,28850.0,33400.0,28200.0,34950.0,28600.0,459892,1105569
2019-01-08,32204.982421875,28700.0,33850.0,28700.0,34650.0,29450.0,33700.0,28350.0,34450.0,28450.0,197742,2009963
2019-01-09,32014.701171875,28700.0,33650.0,28700.0,34300.0,29100.0,33400.0,28600.0,33900.0,29050.0,243687,982343
2019-01-10,31491.4296875,27800.0,33100.0,27800.0,33600.0,29000.0,33100.0,27700.0,33400.0,28850.0,275341,1383820
2019-01-11,31206.0078125,28300.0,32800.0,28300.0,33200.0,28600.0,31950.0,27650.0,33050.0,27850.0,347098,1064494
2019-01-14,30587.59765625,29650.0,32150.0,29650.0,32900.0,29650.0,32050.0,28400.0,32900.0,28600.0,216251,2351486
2019-01-15,31158.4375,29650.0,32750.0,29650.0,33100.0,30050.0,31900.0,29200.0,31900.0,29500.0,218390,1728082
2019-01-16,31634.138671875,29650.0,33250.0,29650.0,33500.0,30350.0,32650.0,29600.0,32700.0,30000.0,172877,1413622
2019-01-17,30492.45703125,28750.0,32050.0,28750.0,33300.0,30000.0,32050.0,28350.0,33150.0,29850.0,243492,1427278
2019-01-18,29112.921875,28750.0,30600.0,28750.0,32400.0,29350.0,30100.0,28500.0,32200.0,28850.0,736861,1097437
2019-01-21,29921.615234375,28100.0,31450.0,28100.0,31550.0,29150.0,30600.0,28000.0,30700.0,28900.0,267858,978644
2019-01-22,29588.625,28100.0,31100.0,28100.0,31600.0,28650.0,30800.0,28000.0,31400.0,28100.0,139765,665295
2019-01-23,30397.31640625,28350.0,31950.0,28350.0,32050.0,28450.0,31200.0,28050.0,31200.0,28100.0,231000,604331
2019-01-24,29541.052734375,27850.0,31050.0,27850.0,32450.0,28800.0,31000.0,27800.0,32450.0,28550.0,247586,979657
2019-01-25,29731.333984375,27950.0,31250.0,27950.0,31750.0,28050.0,30900.0,26750.0,30900.0,26950.0,190615,1730662
2019-01-28,29541.052734375,27450.0,31050.0,27450.0,31250.0,28000.0,30700.0,27350.0,31200.0,28000.0,196829,840192
2019-01-29,29398.34375,26150.0,30900.0,26150.0,31200.0,27550.0,30600.0,26050.0,31050.0,27250.0,152750,1766229
2019-01-30,29731.333984375,26500.0,31250.0,26500.0,31300.0,27050.0,30650.0,26350.0,31300.0,26550.0,150190,1095945
2019-01-31,29874.044921875,26450.0,31400.0,26450.0,31700.0,26900.0,31050.0,26150.0,31450.0,26700.0,186620,673701
2019-02-01,29255.630859375,28400.0,30750.0,28400.0,31400.0,28950.0,30700.0,26750.0,31250.0,26950.0,217639,3329269
2019-02-07,29969.185546875,29400.0,31500.0,29400.0,31650.0,29900.0,30650.0,28750.0,30800.0,29450.0,198626,2306251
2019-02-08,30207.037109375,29550.0,31750.0,29550.0,31850.0,29800.0,31050.0,28750.0,31550.0,29000.0,167729,1306581
