date,time,open,high,low,close,qty,value,sign,jongchk,rate,
20230110,090100,68300,68800,68300,68600,13194,902,2,0,0.0,
20230110,090200,68600,69100,68600,69100,16299,0,2,0,0.0,
20230110,090300,69000,69400,69000,69200,11815,0,2,0,0.0,
20230110,090400,69200,69400,69200,69400,9884,0,2,0,0.0,
20230110,090500,69400,69500,69300,69400,10599,0,2,0,0.0,
20230110,090600,69400,69500,68700,68800,13123,0,2,0,0.0,
20230110,090700,68900,68900,68600,68800,5444,0,2,0,0.0,
20230110,090800,68800,69100,68800,68800,3322,0,2,0,0.0,
20230110,090900,68800,68900,68700,68800,2354,0,2,0,0.0,
20230110,091000,68800,68900,68700,68700,1291,0,2,0,0.0,
20230110,091100,68700,68800,68700,68800,1279,0,2,0,0.0,
20230110,091200,68700,69000,68700,68900,1930,0,2,0,0.0,
20230110,091300,69000,69200,68900,69200,3821,0,2,0,0.0,
20230110,091400,69200,69300,69100,69100,4119,0,2,0,0.0,
20230110,091500,69100,69100,68800,68800,2820,0,2,0,0.0,
20230110,091600,68800,68900,68800,68800,1154,0,2,0,0.0,
20230110,091700,68900,69000,68700,68700,3605,0,2,0,0.0,
20230110,091800,68800,68800,68700,68700,2097,0,2,0,0.0,
20230110,091900,68800,68900,68700,68800,1497,0,2,0,0.0,
20230110,092000,68800,68900,68500,68500,8357,0,2,0,0.0,
20230110,092100,68500,68600,68500,68500,3287,0,2,0,0.0,
20230110,092200,68500,68700,68500,68600,1409,0,2,0,0.0,
20230110,092300,68700,68700,68500,68600,2601,0,2,0,0.0,
20230110,092400,68700,68800,68600,68800,2807,0,2,0,0.0,
20230110,092500,68800,68900,68800,68800,536,0,2,0,0.0,
20230110,092600,68800,68900,68700,68700,3987,0,2,0,0.0,
20230110,092700,68800,68900,68800,68800,2495,0,2,0,0.0,
20230110,092800,68800,68800,68700,68700,461,0,2,0,0.0,
20230110,092900,68700,69000,68700,69000,5048,0,2,0,0.0,
20230110,093000,69000,69100,68900,68900,2069,0,2,0,0.0,
20230110,093100,68900,69000,68700,68800,5452,0,2,0,0.0,
20230110,093200,68700,68800,68700,68700,537,0,2,0,0.0,
20230110,093300,68700,68800,68700,68700,2847,0,2,0,0.0,
20230110,093400,68700,68700,68600,68600,1022,0,2,0,0.0,
20230110,093500,68600,68700,68500,68500,5410,0,2,0,0.0,
20230110,093600,68500,68600,68400,68400,1993,0,2,0,0.0,
20230110,093700,68400,68500,68400,68400,2324,0,2,0,0.0,
20230110,093800,68500,68600,68400,68500,1682,0,2,0,0.0,
20230110,093900,68500,68600,68500,68600,799,0,2,0,0.0,
20230110,094000,68600,68700,68500,68500,1471,0,2,0,0.0,
20230110,094100,68500,68600,68500,68600,630,0,2,0,0.0,
20230110,094200,68600,68700,68500,68500,1425,0,2,0,0.0,
20230110,094300,68500,68600,68500,68600,595,0,2,0,0.0,
20230110,094400,68500,68600,68500,68500,924,0,2,0,0.0,
20230110,094500,68600,68700,68500,68500,434,0,2,0,0.0,
20230110,094600,68600,68700,68500,68600,1011,0,2,0,0.0,
20230110,094700,68500,68600,68500,68500,691,0,2,0,0.0,
20230110,094800,68600,68600,68500,68500,506,0,2,0,0.0,
20230110,094900,68500,68600,68500,68600,2291,0,2,0,0.0,
20230110,095000,68600,68600,68500,68500,875,0,2,0,0.0,
20230110,095100,68500,68600,68500,68500,363,0,2,0,0.0,
20230110,095200,68600,68600,68500,68500,2735,0,2,0,0.0,
20230110,095300,68500,68600,68500,68500,233,0,2,0,0.0,
20230110,095400,68500,68600,68500,68500,986,0,2,0,0.0,
20230110,095500,68500,68600,68500,68500,407,0,2,0,0.0,
20230110,095600,68500,68600,68500,68600,327,0,2,0,0.0,
20230110,095700,68600,68600,68500,68500,232,0,2,0,0.0,
20230110,095800,68600,68600,68500,68600,800,0,2,0,0.0,
20230110,095900,68500,68600,68500,68500,559,0,2,0,0.0,
20230110,100000,68500,68500,68300,68300,6281,0,2,0,0.0,
20230110,100100,68300,68400,68300,68400,1844,0,2,0,0.0,
20230110,100200,68400,68400,68300,68300,1655,0,2,0,0.0,
20230110,100300,68400,68400,68200,68200,3577,0,2,0,0.0,
20230110,100400,68300,68300,68200,68300,869,0,2,0,0.0,
20230110,100500,68200,68300,68200,68200,682,0,2,0,0.0,
20230110,100600,68200,68300,68100,68100,3537,0,2,0,0.0,
20230110,100700,68100,68200,68100,68100,2510,0,2,0,0.0,
20230110,100800,68100,68200,68100,68100,1176,0,2,0,0.0,
20230110,100900,68100,68200,68000,68000,2084,0,3,0,0.0,
20230110,101000,68000,68100,68000,68100,1163,0,2,0,0.0,
20230110,101100,68000,68100,68000,68000,1672,0,3,0,0.0,
20230110,101200,68100,68100,67800,67800,8334,0,5,0,0.0,
20230110,101300,67800,67900,67700,67800,2415,0,5,0,0.0,
20230110,101400,67800,68000,67700,67900,3210,0,5,0,0.0,
20230110,101500,67900,68000,67800,67800,2069,0,5,0,0.0,
20230110,101600,67900,67900,67800,67900,1059,0,5,0,0.0,
20230110,101700,67900,68000,67800,68000,613,0,3,0,0.0,
20230110,101800,68000,68100,67900,68000,1336,0,3,0,0.0,
20230110,101900,68000,68100,68000,68100,828,0,2,0,0.0,
20230110,102000,68100,68100,68000,68100,1137,0,2,0,0.0,
20230110,102100,68100,68100,68000,68100,218,0,2,0,0.0,
20230110,102200,68100,68100,68000,68100,533,0,2,0,0.0,
20230110,102300,68100,68100,68000,68100,1168,0,2,0,0.0,
20230110,102400,68100,68100,68000,68100,469,0,2,0,0.0,
20230110,102500,68100,68200,68000,68200,801,0,2,0,0.0,
20230110,102600,68200,68300,68100,68100,1157,0,2,0,0.0,
20230110,102700,68200,68200,68000,68100,1449,0,2,0,0.0,
20230110,102800,68100,68100,68000,68000,490,0,3,0,0.0,
20230110,102900,68000,68100,68000,68000,2498,0,3,0,0.0,
20230110,103000,68100,68400,68100,68300,3146,0,2,0,0.0,
20230110,103100,68200,68300,68200,68200,395,0,2,0,0.0,
20230110,103200,68300,68300,68200,68200,161,0,2,0,0.0,
20230110,103300,68300,68300,68200,68200,381,0,2,0,0.0,
20230110,103400,68200,68300,68100,68100,1534,0,2,0,0.0,
20230110,103500,68100,68200,68100,68100,664,0,2,0,0.0,
20230110,103600,68100,68200,68100,68100,184,0,2,0,0.0,
20230110,103700,68200,68200,68100,68100,774,0,2,0,0.0,
20230110,103800,68200,68300,68100,68200,1106,0,2,0,0.0,
20230110,103900,68200,68300,68200,68300,324,0,2,0,0.0,
20230110,104000,68200,68300,68200,68200,491,0,2,0,0.0,
20230110,104100,68200,68300,68200,68300,401,0,2,0,0.0,
20230110,104200,68200,68300,68200,68200,323,0,2,0,0.0,
20230110,104300,68200,68300,68200,68200,1333,0,2,0,0.0,
20230110,104400,68300,68300,68200,68200,589,0,2,0,0.0,
20230110,104500,68200,68300,68200,68200,713,0,2,0,0.0,
20230110,104600,68200,68300,68200,68300,1009,0,2,0,0.0,
20230110,104700,68400,68400,68300,68400,186,0,2,0,0.0,
20230110,104800,68300,68400,68300,68300,332,0,2,0,0.0,
20230110,104900,68400,68400,68300,68300,400,0,2,0,0.0,
20230110,105000,68300,68400,68300,68300,1183,0,2,0,0.0,
20230110,105100,68300,68400,68300,68400,219,0,2,0,0.0,
20230110,105200,68400,68400,68300,68300,400,0,2,0,0.0,
20230110,105300,68300,68400,68300,68400,979,0,2,0,0.0,
20230110,105400,68400,68400,68300,68300,336,0,2,0,0.0,
20230110,105500,68300,68400,68300,68300,207,0,2,0,0.0,
20230110,105600,68300,68400,68300,68300,339,0,2,0,0.0,
20230110,105700,68300,68400,68300,68300,321,0,2,0,0.0,
20230110,105800,68300,68400,68300,68300,255,0,2,0,0.0,
20230110,105900,68400,68400,68300,68400,252,0,2,0,0.0,
20230110,110000,68300,68400,68300,68300,356,0,2,0,0.0,
20230110,110100,68300,68400,68300,68300,807,0,2,0,0.0,
20230110,110200,68300,68400,68300,68400,930,0,2,0,0.0,
20230110,110300,68400,68400,68300,68300,195,0,2,0,0.0,
20230110,110400,68300,68400,68300,68300,392,0,2,0,0.0,
20230110,110500,68400,68400,68300,68300,651,0,2,0,0.0,
20230110,110600,68300,68400,68300,68300,275,0,2,0,0.0,
20230110,110700,68300,68400,68300,68300,512,0,2,0,0.0,
20230110,110800,68400,68400,68000,68000,3718,0,3,0,0.0,
20230110,110900,68000,68100,68000,68000,319,0,3,0,0.0,
20230110,111000,68000,68100,68000,68000,614,0,3,0,0.0,
20230110,111100,68000,68100,68000,68100,318,0,2,0,0.0,
20230110,111200,68100,68100,68000,68000,331,0,3,0,0.0,
20230110,111300,68000,68100,68000,68000,323,0,3,0,0.0,
20230110,111400,68000,68100,68000,68000,359,0,3,0,0.0,
20230110,111500,68000,68100,68000,68000,476,0,3,0,0.0,
20230110,111600,68000,68100,68000,68100,228,0,2,0,0.0,
20230110,111700,68100,68100,68000,68000,612,0,3,0,0.0,
20230110,111800,68100,68100,68000,68000,620,0,3,0,0.0,
20230110,111900,68000,68100,68000,68100,341,0,2,0,0.0,
