comment,author,date,num_likes
"자연의 생태계에서 생명을 살리려는 이들의 행동, 여러분은 어떠신가요?",[파인딩스타] 참을 수 없는 1%의 울림,2020-09-14T03:52:06Z,15077
​@Monstera Deliciosa 그렇게 치면 당신집에 살민마가 들어도 그건 천적을 만난 동물이랑 비슷한거니 112 신고해서<br>누군가의 개입을 바라면 안되네?,goguma malLaeng-lee,2023-06-12T11:13:37Z,0
정리해주지.<br>도움은 다연한거고 인간은 자신의 컵셉을 포기한것일뿐,한국사람들이 좋아하는노래(내가좋아하는...ㅈㅅ),2023-06-12T09:39:51Z,0
인간이 개입해서는 안된다면 인간으로인해 동물들에게 피해주는것도 안되는건데 그냥 인간이 사라지는게 어때?<br><br>막 자연의 생태계를 깨고 먹이사슬을 무너뜨릴만큼 개입하자는게 아니잖아.<br>또 누구의 먹잇감이 되는걸 뺏는게 아니고 그냥 자연사할뻔한 생명을 구한건데 그렇게 아니꼽냐...,시로,2023-06-10T12:32:38Z,0
공감합니다 인간의오만함으로 멸종된동물들에 대한 최소한의 예의,상록수,2023-06-04T05:10:46Z,0
"불문율은 다큐를 만들때의 불문율인거고, 인간은 동물을 돌볼 의무가 있습니다.",Young Choi,2023-03-02T01:21:01Z,0
생명을 구하는 것보다 더 중요한 일은 없지,Yh J,2023-06-22T05:17:43Z,0
말로만 환경보호 동물보호라 자칭하는 단체 혹은 그 사람들로 비교 대상이 어렵고 좋은 사람이라 생각합니다,Howl,2023-06-22T05:08:17Z,0
인간이 대자연을 다 망쳐놓고는 개입하지말라는것도 좀 웃김,고요한폭풍,2023-06-22T05:00:14Z,0
자연의 섭이니깐 그냥 두라는 말이 너무 웃긴다.... 저 펭귄들이 감독을 만난 것도 어쩌면 자연의 섭리고 자기가 보는 앞에서 죽어사는 생명을 살리는 것 또한 자연의 섭리 아닐까??,WillingSacrifice,2023-06-22T03:59:22Z,0
다큐멘터리는 사실의 기록이기도 하지만 학습 자료이기도 하다<br>모든 사실 관계의 기록이 다 다큐멘터리가 되는 게 아니다<br>학습 자료로서 보존 가치가 없는 사실 관계는 다큐멘터리로서의 가치 역시 없다<br>빙벽 골짜기를 벗어나기 위해 오랜시간 발버둥치다가 결국 떼죽음당하는 펭귄들의 모습을 그저 멀찌감치서 지켜보며 촬영했다면<br>그 기록은 학습 자료로서 어떤 가치가 있을까<br>그 영상을 보는 시청자들이 과연 그 다큐멘터리에서 뭘 보고 배울 수 있을까<br><br><br>다큐의 불문율을 지키기 위해 생명이 떼죽음당할 것을 알면서도 방관하는 것은 옳은가,710,2023-06-22T03:07:04Z,0
지능이 조금더 높은 인간이 팽귄을<br>구한게 잘못된건 아닌거 같습니다.<br>같은 지구에 살아가며 위험에 처한 <br>생명들 돕는게 자연의이치를 어긴건 아니라고<br>봅니다.<br>그렇게 따지면 바닷속에서 죽을뻔한 인간들<br>구해준 돌고래들도 처벌하던가요 ㅋ<br>카메라 감독님 진짜 잘하신겁니다.,임인,2023-06-22T02:52:38Z,0
눈물나,니니,2023-06-22T02:29:50Z,0
오래전 누군가 우리를 도왔을 것입니다. 이재 우리가 그 누군가인 것입니다.,나르는잔나비행운,2023-06-22T02:18:51Z,0
역시 BBC 자연 다큐멘터리안들!,Michaela Kwon,2023-06-22T01:14:50Z,0
짝짝짝  박수 을  보내닙다<br>감사합니다 수고하셨습니다,이나경,2023-06-21T22:22:43Z,0
만번 잘했다 맥클레이,이산,2023-06-21T17:40:48Z,1
저래 추운곳에 뚱뚱한 새들이 살아있다니,김해샹크스,2023-06-21T15:38:23Z,0
해를 끼치지 않는 선에서 관리하고 다스리는 것은 인간의 의무입니다.,아마빌레,2023-06-21T14:41:47Z,0
인간의 이기적인 룰따위,kkiudong ya,2023-06-21T12:00:57Z,0
"그거 구한다고 즉, 결국 어차피 전부도 아니고 작은 미미한 부분만 살리는건데 무슨 자연을 거스르냐? 자연법칙은 어차피 사람이 보지 못해 못 구하는 사례가 훨씬많아서 그게 자연법칙에 해가 안된다. 숫사자가 아기여우잡아먹으려는데 암사자가 말리면 그것도 자연거스르는건가? 그냥 그 팽귄이 사주가 운이 좋아서 사는거다. 사주도 자연의 힘이다.",동쪽임금,2023-06-21T11:59:58Z,0
"저건 뭐라고 못함<br><br>하지만 다른 동물이 잡아먹는 걸 막는게 바보..........<br><br>오래전에 아프리카에서 누우 갓 태어난 걸 하이에나들이 잡아먹던 걸 보던 서구 여자들이 울면서 가이드에게 차량으로 하이에나를 내쫓아 도와달라고 애원했죠<br>가이드는 냉정하게 <br><br>&quot;그럼, 당신들이 팔을 잘라서 하이에나에게 줄 수 있습니까?&quot;<br><br>당연히 그렇다고 할 사람이 얼마나 될까...여자들은 곤란해했고 가이드는 <br><br>&quot;그럴 각오가 아니라면 쉽게 끼어들면 안됩니다<br>하이에나도 먹어야지 살아요. 저들은 재미로 누우를 죽이는 게 아닙니다. 저들도 잡아먹어야지 살 수 있고 어미도 먹어야지 젖이 나와서<br>자기 새끼들을 돌 볼 수 있습니다. 우리가 멋대로 끼어들어 하이에나는 악당이고 누우만 착하다고 할 수 있을까요?&quot;<br><br>여자들은 아무 말도 못했던 일화가 있죠...",김성훈,2023-06-21T11:34:42Z,0
"인간의 법률은 인간사이에서 지키면 되는거고, 저 펭귄은 인간이 아니기 때문에 극소수의 인간들이 마음대로 정한 법률을 지켜야 할 이유는 없음. 내가 정한 규칙, 내가 선출한 정치가가 만든 법이 아니면 지킬 필요는 없음.",royal Frigern,2023-06-21T09:31:35Z,0
제작진과 감독의 행동에 저도 찬사를 보내지만<br>제목 결국 어떻게 됐다는 거에요?<br>낚시 제목이에요?,에프킬라,2023-06-21T09:13:53Z,0
인간과 뱅긴의 차이점이 무언가요?!!!<br>인간도 자연의 일부요.,이승석,2023-06-21T09:09:31Z,0
"그 상황에서는 펭귄을 돕지 않은 것이 자연 생태계를 거스른 일이 됩니다. 그 자리에 인간이 있었고,  인간도 자연 생태계의 하나이기 때문입니다...... 감동의 눈물을 흘렸고, 아마 다른분들도 같은 마음일 것입니다.. 그러면 그것이 맞는 것입니다...... 그렇다고 인간이 다른 생태계에 무턱대고 개입하는 것을 지지 않습니다",참세상,2023-06-21T05:43:03Z,0
인간이 자연환겨을 파괴시키고 그들이 삶의 터전에 피해를 줬으니 당연히 도와줘야 한다고 본다,날아라라이언,2023-06-21T05:22:15Z,0
생태계 개입금지가 국제법이나 뭐 그런거야?  포식자의 사냥같은거는 개입하면 안되겠지만. 혼자 얼어죽는것도 개입하면 안됨?,이두희,2023-06-21T04:22:18Z,0
"저 수많은 펭귄이 다 죽으면 자연도 없어지는 거야,..",아뚱,2023-06-21T03:42:54Z,0
.<br>.<br>인간 행동도 생태계의 일부임.<br>.,Fabian Fab,2023-06-21T02:09:50Z,1
인간도 자연의 일부고 인간이 펭귄을 돕는 것 또한 자연의 섭리 아닐까,돗개DODOG,2023-06-20T23:51:10Z,0
이 또한 인연이다,에체스,2023-06-20T22:09:16Z,0
죽이는건 잘만 죽이면서 살리면 안된다?,KDSD,2023-06-20T15:19:17Z,0
하느님이 베푸신 사랑을 동물에게 베풀어주신 감독님 존경합니다.,Explorer Isk,2023-06-20T11:51:14Z,0
지구의 일부분인 인간이 동정을 베푸는 것 조차도 자연의 일부이다.,빠니보틀 Panl Bottle,2023-06-20T09:56:56Z,0
"남극 펭귄을 구하기 위해, 자연의 생태계를 거스른 다큐멘터리 감독, 결국.. &quot;처형&quot;",제민,2023-06-20T09:41:09Z,1
아니 잘한 건 맞지만 너무 거창하게 표현된 게 아닌가 싶은데 ㅋㅋㅋㅋ,로즈모델,2023-06-20T09:08:54Z,0
감사합니다,김용현,2023-06-20T05:53:42Z,0
인간이란 존재가 이미 생태계 개입 아닌가?,러비러비,2023-06-20T04:48:54Z,0
맥클레이 용기있는 당신의선택에 아낌없는 박수를 보냅니다  수고하셨습니다,나비,2023-06-20T04:25:04Z,0
인간의 판단으로  생태계 도와주는거 자체를  욕하고 싶지는 않지만  그게 잘한건지 못한건지는 모르는 일이다.  그럼에도 마치 정의구현을 한것처럼   웅장한 노래깔고 선의를 칭찬해달라는 감성 영상찍고 공유하는건  결국 인간들의 욕구해소로 밖에 안보임.  (ex. 캣맘),Manju,2023-06-20T02:09:28Z,0
원칙이 중요한게 아니라 원칙을 만든 이유가 더 중요하죠<br>그 이유를 잊어버리고 원칙만 맹신하면 그게 바로 구태가 됨,Jh H,2023-06-19T03:28:19Z,1
너무 감동이네 정말 ㅠㅠ,존템플턴,2023-06-18T11:16:05Z,0
그럼 저희도 생태계 개입을 안하기위해 사람이죽어가도 안도와주겠습니다^^,진현 김,2023-06-18T01:58:54Z,0
개입금지라는건 다큐멘터리로서 실격이라는거지. 구하는거 자체는 그렇게 하든 말든 뭔 상관?<br>구하고 싶으면 구하고 그 부분을 편집해서 잘라내던가 하면 끝.,Oi mk,2023-06-17T22:36:32Z,0
우린 신에게 구해달라고한다 그러나 신은 그건 법칙이 어긋난다면서 인간사에 개입안하는것이 신의법칙이라고말한다 그러나 그와중에서 인간을 구해준 신이있고 그 신은 언제나 그 법칙에 따라 처벌받는다.. 그러나 그건 우리가 생각하는생각일뿐 신의존재를 정당화하기위한 생각일뿐..인간의 자연의 개입은 있어야한다 그것이 우리가 지금까지 자연을 훼손한것을 보상할수있는길이기때문이다!!,빅보스맨,2023-06-17T14:12:07Z,0
인간도자연일부다 생태계를 해친게아니라 인간이란 동물이 말못하는 동물을 도운것도 자연현상 <br>눈앞에서 내새끼 우리엄마아빠가 죽어가는데 그를돕는건 생태계개입이어도 괜찮다,ws “daehan” Lee,2023-06-17T03:04:04Z,0
&quot;의를 보고도 행하지 않음은 용기가 없는 것이다&quot; 라는 말이 떠오르네요.,Rasism,2023-06-16T18:45:37Z,0
👍,안경미,2023-06-16T15:26:54Z,0
결국 뭐? 낙시질 금지 해라.,자유럽게,2023-06-15T06:17:26Z,0
개입을 하니 어쩌니 맞니 틀렸니 개웃기네 아주ㅈㄹ들났다ㅋㅋㅋ 인간도 자연 생태계의 일부다 뭔 개입이냐.. 인간이 여타 다른 동물과는 다른 사유라는 걸 하는 동물이다 보니 스스로가 헛생각을 하는 경향이 있는데 의미없는 짓이다 인간이 생태계에 개입한다고? 뭔 개입이야 우리도 생태계의 일부야 ㅂㅅ들아.. 우리 사는 거나 신경써라,뭐하지,2023-06-15T00:06:20Z,2
저런 죄없는 펭귄들 산채로 무참히 잡아먹는 물범은 굶어죽어야 하나? 물범도 살아야 하는데? 그러니까 니들이 하는 생각은 논리가 앞뒤가 안 맞다는 거다.. 제발 ㅂㅅ같은 생각 좀 집어치우고 우리 생존이나 신경써라..,뭐하지,2023-06-15T00:10:49Z,1
종교 글 올리는 인간들아 <br>니들은 <br>없는 싸구려 예수 팔지 말고 제발 상식에 기인한 행동을 해라,즐거운인생,2023-06-14T12:44:13Z,0
우리는 이태원 참사 때 아무것도 하질 않았다 <br>못한게 아니라 하지를 않았다 <br>대한민국 국민은 저 펭귄 보다 못한 존재 이니라 <br>저런 다큐 보면서 당신들은 또 눈을 감는건가 ? <br>펭귄보다 못한 존재들,즐거운인생,2023-06-14T12:38:36Z,1
2찍찍들은 제발  꺼져주세요 ~<br>니들이 자국민 159명이 압사로 죽는데 정치 논리로 희석하고 저 펭귄한테는 안타까움이 생기냐 ?,즐거운인생,2023-06-14T12:40:12Z,0
기본이 안된작자들이네 <br>쓰레기네.,문오억,2023-06-14T07:44:51Z,0
이건 뭐지 ?,즐거운인생,2023-06-14T12:41:12Z,0
자연이 선을 넘으면 인간이 행동해야 한다.,SantaCruz,2023-06-14T00:53:36Z,1
어쨋튼 해봐야지여 <br>그것도 인간이기에 가능한거잖아요,즐거운인생,2023-06-14T12:45:18Z,0
크,계정,2023-06-14T05:51:13Z,1
이런개입은 얼마든지 해도된다 . <br>밀렵이나 금지된 포획만은 제발 하지마라 그런게 생태계를 망치는 주범이다 ㅠㅠㅜ,지인,2023-06-13T22:08:51Z,0
북극을 녹이는것도 이상기온을 만드는것도 인간의 개입입니다..이들의 생명의 구하는것은 옳은 일이고 해야할 일이지..자연의 섭리를 무너트리는것이 아닙니다..,류혜빈,2023-06-13T21:23:51Z,0
정말 야생의 세계는 혹독하고 냉혹해. 동물을 사랑하는 사람으로서 보고만 있을 수 없었겠어...,rOSIe,2023-06-13T14:50:27Z,1
인간도 자연의 일부분임.. 그것이 창조건 오염이건 피해건간에..,Hanseok Yoo,2023-06-13T09:37:36Z,0
구하는 것 또한 자연의 일부,송비,2023-06-13T07:49:51Z,0
멋지심요..,투투TV,2023-06-13T03:07:36Z,0
인간의 선의도 자연의 섭리,acorn,2023-06-12T21:19:55Z,0
자막처럼...정말이지 100번 잘하셨습니다😊,마짜나요,2023-06-12T19:55:40Z,0
백번이고 천번이고 옳은 결정 하신겁니다<br>한 생명앞에 룰이 어디있습니까 고생하셨습니다,HS,2023-06-12T14:36:20Z,0
